11:52:53_28-01-2025: Training starting...
11:52:54_28-01-2025: New best reward -7.5 (+nan%) at episode 0, saving model...
11:52:55_28-01-2025: New best reward -6.9 (-8.0%) at episode 2, saving model...
11:52:55_28-01-2025: New best reward -4.5 (-34.8%) at episode 6, saving model...
11:52:55_28-01-2025: New best reward -3.3 (-26.7%) at episode 60, saving model...
11:52:57_28-01-2025: New best reward -2.1 (-36.4%) at episode 196, saving model...
11:53:14_28-01-2025: New best reward -0.3 (-85.7%) at episode 1048, saving model...
11:53:16_28-01-2025: New best reward 1.5 (-600.0%) at episode 1185, saving model...
11:53:17_28-01-2025: New best reward 3.9 (+160.0%) at episode 1213, saving model...
11:55:46_28-01-2025: New best reward 4.0 (+2.6%) at episode 6916, saving model...
11:56:20_28-01-2025: New best reward 4.6 (+15.0%) at episode 7994, saving model...
11:56:31_28-01-2025: New best reward 4.8 (+4.3%) at episode 8339, saving model...
11:56:40_28-01-2025: New best reward 6.4 (+33.3%) at episode 8613, saving model...
11:57:11_28-01-2025: New best reward 6.8 (+6.2%) at episode 9518, saving model...
11:59:44_28-01-2025: New best reward 8.4 (+23.5%) at episode 13877, saving model...
12:01:42_28-01-2025: New best reward 8.5 (+1.2%) at episode 16964, saving model...
12:02:51_28-01-2025: New best reward 9.0 (+5.9%) at episode 18639, saving model...
12:03:35_28-01-2025: New best reward 9.4 (+4.4%) at episode 19716, saving model...
12:04:03_28-01-2025: New best reward 11.0 (+17.0%) at episode 20386, saving model...
