08:14:04_27-01-2025: Training starting...
08:14:05_27-01-2025: New best reward 39.0 (+nan%) at episode 0, saving model...
08:14:06_27-01-2025: New best reward 72.0 (+84.6%) at episode 24, saving model...
08:14:06_27-01-2025: New best reward 83.0 (+15.3%) at episode 193, saving model...
08:14:07_27-01-2025: New best reward 84.0 (+1.2%) at episode 293, saving model...
08:14:07_27-01-2025: New best reward 114.0 (+35.7%) at episode 353, saving model...
08:14:08_27-01-2025: New best reward 130.0 (+14.0%) at episode 414, saving model...
08:14:10_27-01-2025: New best reward 138.0 (+6.2%) at episode 646, saving model...
08:14:10_27-01-2025: New best reward 150.0 (+8.7%) at episode 737, saving model...
08:14:11_27-01-2025: New best reward 186.0 (+24.0%) at episode 782, saving model...
08:14:11_27-01-2025: New best reward 192.0 (+3.2%) at episode 825, saving model...
08:14:14_27-01-2025: New best reward 264.0 (+37.5%) at episode 1030, saving model...
08:14:15_27-01-2025: New best reward 323.0 (+22.3%) at episode 1093, saving model...
08:14:19_27-01-2025: New best reward 424.0 (+31.3%) at episode 1290, saving model...
08:14:50_27-01-2025: New best reward 511.0 (+20.5%) at episode 2200, saving model...
08:16:42_27-01-2025: New best reward 537.0 (+5.1%) at episode 4335, saving model...
08:16:52_27-01-2025: New best reward 679.0 (+26.4%) at episode 4470, saving model...
08:17:34_27-01-2025: New best reward 695.0 (+2.4%) at episode 5009, saving model...
08:17:47_27-01-2025: New best reward 701.0 (+0.9%) at episode 5162, saving model...
08:17:58_27-01-2025: New best reward 826.0 (+17.8%) at episode 5293, saving model...
08:19:48_27-01-2025: New best reward 882.0 (+6.8%) at episode 6711, saving model...
08:21:50_27-01-2025: New best reward 918.0 (+4.1%) at episode 8332, saving model...
08:23:52_27-01-2025: New best reward 1065.0 (+16.0%) at episode 9768, saving model...
08:24:10_27-01-2025: New best reward 1073.0 (+0.8%) at episode 9990, saving model...
08:27:00_27-01-2025: New best reward 1350.0 (+25.8%) at episode 11660, saving model...
08:28:45_27-01-2025: New best reward 1395.0 (+3.3%) at episode 12551, saving model...
08:28:55_27-01-2025: New best reward 1457.0 (+4.4%) at episode 12615, saving model...
08:29:11_27-01-2025: New best reward 1540.0 (+5.7%) at episode 12699, saving model...
08:29:12_27-01-2025: New best reward 1978.0 (+28.4%) at episode 12705, saving model...
08:29:37_27-01-2025: New best reward 100000.0 (+4955.6%) at episode 12711, saving model...
