11:23:30_28-01-2025: Training starting...
11:23:33_28-01-2025: New best reward -8.1 (+nan%) at episode 0, saving model...
11:23:33_28-01-2025: New best reward -7.5 (-7.4%) at episode 1, saving model...
11:23:33_28-01-2025: New best reward -6.9 (-8.0%) at episode 2, saving model...
11:23:34_28-01-2025: New best reward -6.3 (-8.7%) at episode 6, saving model...
11:23:34_28-01-2025: New best reward -5.1 (-19.0%) at episode 8, saving model...
11:23:43_28-01-2025: New best reward -4.5 (-11.8%) at episode 83, saving model...
11:23:44_28-01-2025: New best reward -0.9 (-80.0%) at episode 91, saving model...
11:25:36_28-01-2025: New best reward 0.7 (-177.8%) at episode 961, saving model...
11:26:44_28-01-2025: New best reward 0.9 (+28.6%) at episode 1463, saving model...
11:26:59_28-01-2025: New best reward 2.7 (+200.0%) at episode 1569, saving model...
